idx,atNode,S
0,1,0j
1,2,(100+60j)
2,3,(90+40j)
3,4,(120+80j)
4,5,(60+30j)
5,6,(60+20j)
6,7,(200+100j)
7,8,(200+100j)
8,9,(60+20j)
9,10,(60+20j)
10,11,(45+30j)
11,12,(60+35j)
12,13,(60+35j)
13,14,(120+80j)
14,15,(60+10j)
15,16,(60+20j)
16,17,(60+20j)
17,18,(90+40j)
18,19,(90+40j)
19,20,(90+40j)
20,21,(90+40j)
21,22,(90+40j)
22,23,(90+50j)
23,24,(420+200j)
24,25,(420+200j)
25,26,(60+25j)
26,27,(60+25j)
27,28,(60+20j)
28,29,(120+70j)
29,30,(200+600j)
30,31,(150+70j)
31,32,(210+100j)
32,33,(60+40j)
